PKNAME,PEAKID,PKNAME2,PKNAME_COSO,LOCATION,osm.x,osm.y,osm,wiki,s,Lat,Lon
Kasi Dalpha,KASI,NA,,Jagdula Lekh (S of Kande Huinchuli),1,0,0,0,1,,
Khamjung,KHAM,"Khumjung, Khamjungar",,Damodar Himal (W of Saribung and Bhrikuti),0,0,0,0,0,,
Khangri Shar,KGRI,NA,,Khumbu Himal (W of Pumori),0,0,0,1,1,,
Khangri West,KGRW,NA,,Khumbu Himal (W of Pumori),0,0,1,0,1,,
Khatang,KHAT,NA,,Rolwaling Himal (E of Numbur),1,0,0,1,2,,
Khatung Khang,KTUN,NA,,Annapurna-Nilgiri Himal (SW of Thorong La),0,0,0,0,0,,
Khayang,KHAY,NA,,Manaslu Himal (E of Samdo Peak on Tibetan border),0,0,0,0,0,,
Khongma Tse,KHON,Mehra Peak,,Khumbu Himal (SW of Nuptse),0,0,0,0,0,,
Khumbutse,KHUM,NA,,Khumbu Himal (NW of Lho La on Tibetan border),0,0,0,1,1,,
Khung,KHNG,NA,Kanjiroba ,Palchung Himal (NE of Kanjiroba on Tibetan border),0,0,0,0,0,,
Kimshung,KIMS,"Kinshung, Tsangbu Ri",,Langtang Himal (NE of Langtang Lirung),1,0,0,1,2,,
Kirat Chuli,KIRA,Tent Peak,,Jongsang Himal (N of Kangchenjunga on Indian border),1,0,0,1,2,,
Kogi Khang North,KOGI,Kogi Kang North,,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),0,0,0,0,0,,
Kojichuwa Chuli,KOJI,NA,,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),0,0,0,0,0,,
Kojichuwa South,KOJS,NA,,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),0,0,0,0,0,,
Konabon,KBON,Kambon,,Dhaulagiri Himal (SE of Gurja Himal),0,0,0,0,0,,
Korlang Pari Tippa,KORL,Korlang Pari Tippa North,,N of Lamabagar on Tibetan border,0,0,0,0,0,,
Kotang,KOTA,"Kokthang, Kothang Kang",,Simhalila Himal (SSW of Rothang on Indian border),0,0,0,0,0,,
Kumlung,KUML,Kang Kuru?,,Damodar Himal (NE of Saribung and W of Bhrikuti),0,0,0,0,0,,
Kusum Kanguru,KUSU,"Kusum Kang, Lamu",,Khumbu Himal (NE of Lukla village),0,0,0,1,1,,
Kwangde,KWAN,NA,,Rolwaling Himal (W of Namche Bazar),0,0,0,0,0,,
Kyabura,KYAB,"Ghabur, Temachungi",,"Kangchenjunga Himal (W of Kumbhakarna, Sobitongie and Phole)",0,0,0,0,0,,
Kyashar,KYAS,"Peak 43, Tangnag Tseng",,Khumbu Himal (S of Kantega),1,0,0,1,2,,
Kyazo Ri,KYAZ,Kyajo Ri,,Khumbu Himal (SW of Gokyo Lake),0,0,0,0,0,,
Kyungka Ri 1,KYR1,Kyungya Ri 1,,Langtang Himal (NE of Shalbachum near Tibetan border),0,0,0,0,0,,
Kyungka Ri 2,KYR2,Kyungya Ri 2,,Langtang Himal (NE of Shalbachum on Tibetan border),0,0,0,0,0,,
Lachama Chuli,LCHA,"Kubi Kangri, Kubi Dongdong",,Changla Himal (N of Gorakh Himal on Tibetan border),0,0,0,0,0,,
